42,27,0.68,57,7
42,27,0.68,57,8
42,27,0.68,57,9
42,27,0.68,58,7
42,27,0.68,58,8
42,27,0.68,58,9
42,27,0.7,56,7
42,27,0.7,56,8
42,27,0.7,56,9
42,27,0.7,57,7
42,27,0.7,57,8
42,27,0.7,57,9
42,27,0.7,58,7
42,27,0.7,58,8
42,27,0.7,58,9
42,27,0.72,56,7
42,27,0.72,56,8
42,27,0.72,56,9
42,27,0.72,57,7
42,27,0.72,57,8
42,27,0.72,57,9
42,27,0.72,58,7
42,27,0.72,58,8
42,27,0.72,58,9
42,28,0.68,56,7
42,28,0.68,56,8
42,28,0.68,56,9
42,28,0.68,57,7
42,28,0.68,57,8
42,28,0.68,57,9
42,28,0.68,58,7
42,28,0.68,58,8
42,28,0.68,58,9
42,28,0.7,56,7
42,28,0.7,56,8
42,28,0.7,56,9
42,28,0.7,57,7
42,28,0.7,57,8
42,28,0.7,57,9
42,28,0.7,58,7
42,28,0.7,58,8
42,28,0.7,58,9
42,28,0.72,56,7
42,28,0.72,56,8
42,28,0.72,56,9
42,28,0.72,57,7
42,28,0.72,57,8
42,28,0.72,57,9
42,28,0.72,58,7
42,28,0.72,58,8
42,28,0.72,58,9
42,29,0.68,56,7
42,29,0.68,56,8
42,29,0.68,56,9
42,29,0.68,57,7
42,29,0.68,57,8
42,29,0.68,57,9
42,29,0.68,58,7
42,29,0.68,58,8
42,29,0.68,58,9
42,29,0.7,56,7
42,29,0.7,56,8
42,29,0.7,56,9
42,29,0.7,57,7
42,29,0.7,57,8
42,29,0.7,57,9
42,29,0.7,58,7
42,29,0.7,58,8
42,29,0.7,58,9
42,29,0.72,56,7
42,29,0.72,56,8
42,29,0.72,56,9
42,29,0.72,57,7
42,29,0.72,57,8
42,29,0.72,57,9
42,29,0.72,58,7
42,29,0.72,58,8
42,29,0.72,58,9
43,27,0.68,56,7
43,27,0.68,56,8
43,27,0.68,56,9
43,27,0.68,57,7
43,27,0.68,57,8
43,27,0.68,57,9
43,27,0.68,58,7
43,27,0.68,58,8
43,27,0.68,58,9
43,27,0.7,56,7
43,27,0.7,56,8
43,27,0.7,56,9
43,27,0.7,57,7
43,27,0.7,57,8
43,27,0.7,57,9
43,27,0.7,58,7
43,27,0.7,58,8
43,27,0.7,58,9
43,27,0.72,56,7
43,27,0.72,56,8
43,27,0.72,56,9
43,27,0.72,57,7
43,27,0.72,57,8
43,27,0.72,57,9
43,27,0.72,58,7
43,27,0.72,58,8
43,27,0.72,58,9
43,28,0.68,56,7
43,28,0.68,56,8
43,28,0.68,56,9
43,28,0.68,57,7
43,28,0.68,57,8
43,28,0.68,57,9
43,28,0.68,58,7
43,28,0.68,58,8
43,28,0.68,58,9
43,28,0.7,56,7
43,28,0.7,56,8
43,28,0.7,56,9
43,28,0.7,57,7
43,28,0.7,57,8
43,28,0.7,57,9
43,28,0.7,58,7
43,28,0.7,58,8
43,28,0.7,58,9
43,28,0.72,56,7
43,28,0.72,56,8
43,28,0.72,56,9
43,28,0.72,57,7
43,28,0.72,57,8
43,28,0.72,57,9
43,28,0.72,58,7
43,28,0.72,58,8
43,28,0.72,58,9
43,29,0.68,56,7
43,29,0.68,56,8
43,29,0.68,56,9
43,29,0.68,57,7
43,29,0.68,57,8
43,29,0.68,57,9
43,29,0.68,58,7
43,29,0.68,58,8
43,29,0.68,58,9
43,29,0.7,56,7
43,29,0.7,56,8
43,29,0.7,56,9
43,29,0.7,57,7
43,29,0.7,57,8
43,29,0.7,57,9
43,29,0.7,58,7
43,29,0.7,58,8
43,29,0.7,58,9
43,29,0.72,56,7
43,29,0.72,56,8
43,29,0.72,56,9
43,29,0.72,57,7
43,29,0.72,57,8
43,29,0.72,57,9
43,29,0.72,58,7
43,29,0.72,58,8
43,29,0.72,58,9
